modo,seed,condizione,giuste,canguri,irrisolte,scambi,rec_r2,fedelta_ok,fedelta_tot,fedelta_pct
sim,0,casuale_r2,5,0,1,51,0,51,51,100.0
sim,1,casuale_r2,3,0,3,55,0,55,55,100.0
sim,2,casuale_r2,4,0,2,60,0,60,60,100.0
sim,3,casuale_r2,6,0,0,58,0,58,58,100.0
sim,4,casuale_r2,3,1,2,64,0,64,64,100.0
sim,5,casuale_r2,2,1,3,53,0,53,53,100.0
sim,6,casuale_r2,5,0,1,59,0,59,59,100.0
sim,7,casuale_r2,4,0,2,54,0,54,54,100.0
sim,8,casuale_r2,3,0,3,65,0,65,65,100.0
sim,9,casuale_r2,6,0,0,56,0,56,56,100.0
sim,10,casuale_r2,4,1,1,61,0,61,61,100.0
sim,11,casuale_r2,5,0,1,58,1,58,58,100.0
sim,12,casuale_r2,6,0,0,54,0,54,54,100.0
sim,13,casuale_r2,5,0,1,63,0,63,63,100.0
sim,14,casuale_r2,5,0,1,58,1,58,58,100.0
sim,15,casuale_r2,4,0,2,56,0,56,56,100.0
sim,16,casuale_r2,4,0,2,58,0,58,58,100.0
sim,17,casuale_r2,4,0,2,60,0,60,60,100.0
sim,18,casuale_r2,5,0,1,57,0,57,57,100.0
sim,19,casuale_r2,4,0,2,48,0,48,48,100.0
sim,20,casuale_r2,3,0,3,55,0,55,55,100.0
sim,21,casuale_r2,4,0,2,56,0,56,56,100.0
sim,22,casuale_r2,4,0,2,62,0,62,62,100.0
sim,23,casuale_r2,5,0,1,57,0,57,57,100.0
sim,24,casuale_r2,4,0,2,66,0,66,66,100.0
sim,25,casuale_r2,5,0,1,60,1,60,60,100.0
sim,26,casuale_r2,3,1,2,56,0,56,56,100.0
sim,27,casuale_r2,5,0,1,63,0,63,63,100.0
sim,28,casuale_r2,4,0,2,52,0,52,52,100.0
sim,29,casuale_r2,4,0,2,68,0,68,68,100.0
sim,30,casuale_r2,4,0,2,67,1,67,67,100.0
sim,31,casuale_r2,4,1,1,61,0,61,61,100.0
sim,32,casuale_r2,5,0,1,62,1,62,62,100.0
sim,33,casuale_r2,4,0,2,58,0,58,58,100.0
sim,34,casuale_r2,6,0,0,56,0,56,56,100.0
sim,35,casuale_r2,4,1,1,56,1,56,56,100.0
sim,36,casuale_r2,5,1,0,59,1,59,59,100.0
sim,37,casuale_r2,5,0,1,61,0,61,61,100.0
sim,38,casuale_r2,3,2,1,66,1,66,66,100.0
sim,39,casuale_r2,5,1,0,56,0,56,56,100.0
sim,40,casuale_r2,4,1,1,51,0,51,51,100.0
sim,41,casuale_r2,4,0,2,68,0,68,68,100.0
sim,42,casuale_r2,6,0,0,58,0,58,58,100.0
sim,43,casuale_r2,5,0,1,62,1,62,62,100.0
sim,44,casuale_r2,4,0,2,56,0,56,56,100.0
sim,45,casuale_r2,3,1,2,56,0,56,56,100.0
sim,46,casuale_r2,4,1,1,49,0,49,49,100.0
sim,47,casuale_r2,4,0,2,50,0,50,50,100.0
sim,48,casuale_r2,6,0,0,65,1,65,65,100.0
sim,49,casuale_r2,5,0,1,59,0,59,59,100.0
